	time1	resultado	time2	Home	Away	pro	contra
0	Grêmio	4–3	Atlético Mineiro	4	3	3	4
1	Atlético Mineiro	4–3	Red Bull Bragantino	4	3	4	3
2	Bahia	2–3	Atlético Mineiro	2	3	3	2
3	Atlético Mineiro	2–1	Fluminense	2	1	2	1
4	Palmeiras	2–2	Atlético Mineiro	2	2	2	2
5	Atlético Mineiro	2–0	Juventude	2	0	2	0
6	Athletico Paranaense	0–1	Atlético Mineiro	0	1	1	0
7	Atlético Mineiro	3–0	Corinthians	3	0	3	0
8	Atlético Mineiro	1–0	América Mineiro	1	0	1	0
9	Atlético Mineiro	2–1	Grêmio	2	1	2	1
10	Flamengo	1–0	Atlético Mineiro	1	0	0	1
11	Atlético Mineiro	2–1	Cuiabá	2	1	2	1
12	Atlético Goianiense	2–1	Atlético Mineiro	2	1	1	2
13	Atlético Mineiro	3–1	Santos	3	1	3	1
14	Atlético Mineiro	3–1	Ceará	3	1	3	1
15	Chapecoense	2–2	Atlético Mineiro	2	2	2	2
16	Atlético Mineiro	1–0	Internacional	1	0	1	0
17	São Paulo	0–0	Atlético Mineiro	0	0	0	0
18	Atlético Mineiro	3–0	Sport	3	0	3	0
19	Fortaleza	0–2	Atlético Mineiro	0	2	2	0
20	Red Bull Bragantino	1–1	Atlético Mineiro	1	1	1	1
21	Fluminense	1–1	Atlético Mineiro	1	1	1	1
22	Atlético Mineiro	2–0	Palmeiras	2	0	2	0
23	Juventude	1–2	Atlético Mineiro	1	2	2	1
24	Atlético Mineiro	2–0	Athletico Paranaense	2	0	2	0
25	Atlético Mineiro	3–0	Bahia	3	0	3	0
26	Corinhtians	1–2	Atlético Mineiro	1	2	2	1
27	América Mineiro	0–1	Atlético Mineiro	0	1	1	0
28	Atlético Mineiro	2–1	Flamengo	2	1	2	1
29	Cuiabá	0–1	Atlético Mineiro	0	1	1	0
30	Atlético Mineiro	4–1	Atlético Goianiense	4	1	4	1
31	Santos	2–0	Atlético Mineiro	2	0	0	2
32	Ceará	2–1	Atlético Mineiro	2	1	1	2
33	Atlético Mineiro	1–1	Chapecoense	1	1	1	1
34	Internacional	0–1	Atlético Mineiro	0	1	1	0
35	Atlético Mineiro	1–0	São Paulo	1	0	1	0
36	Sport	0–1	Atlético Mineiro	0	1	1	0
37	Atlético Mineiro	1–2	Fortaleza	1	2	1	2
